nama_produk;jenis_produk;bulan;tahun;total_pengeluaran
Day Cream MS;MS Glow;Januari;2017;126
Day Cream MS;MS Glow;Februari;2017;237
Day Cream MS;MS Glow;Maret;2017;150
Day Cream MS;MS Glow;April;2017;64
Day Cream MS;MS Glow;Mei;2017;191
Day Cream MS;MS Glow;Juni;2017;124
Day Cream MS;MS Glow;Juli;2017;224
Day Cream MS;MS Glow;Agustus;2017;127
Day Cream MS;MS Glow;September;2017;74
Day Cream MS;MS Glow;Oktober;2017;142
Day Cream MS;MS Glow;November;2017;94
Day Cream MS;MS Glow;Desember;2017;144
Night Cream MS;MS Glow;Januari;2017;118
Night Cream MS;MS Glow;Februari;2017;192
Night Cream MS;MS Glow;Maret;2017;92
Night Cream MS;MS Glow;April;2017;134
Night Cream MS;MS Glow;Mei;2017;240
Night Cream MS;MS Glow;Juni;2017;219
Night Cream MS;MS Glow;Juli;2017;100
Night Cream MS;MS Glow;Agustus;2017;40
Night Cream MS;MS Glow;September;2017;40
Night Cream MS;MS Glow;Oktober;2017;148
Night Cream MS;MS Glow;November;2017;100
Night Cream MS;MS Glow;Desember;2017;172
Numinous Night Cream MS;MS Glow;Januari;2017;130
Numinous Night Cream MS;MS Glow;Februari;2017;73
Numinous Night Cream MS;MS Glow;Maret;2017;24
Numinous Night Cream MS;MS Glow;April;2017;90
Numinous Night Cream MS;MS Glow;Mei;2017;198
Numinous Night Cream MS;MS Glow;Juni;2017;50
Numinous Night Cream MS;MS Glow;Juli;2017;80
Numinous Night Cream MS;MS Glow;Agustus;2017;163
Numinous Night Cream MS;MS Glow;September;2017;122
Numinous Night Cream MS;MS Glow;Oktober;2017;200
Numinous Night Cream MS;MS Glow;November;2017;121
Numinous Night Cream MS;MS Glow;Desember;2017;190
MS. Glow FW;MS Glow;Januari;2017;155
MS. Glow FW;MS Glow;Februari;2017;56
MS. Glow FW;MS Glow;Maret;2017;88
MS. Glow FW;MS Glow;April;2017;142
MS. Glow FW;MS Glow;Mei;2017;34
MS. Glow FW;MS Glow;Juni;2017;92
MS. Glow FW;MS Glow;Juli;2017;176
MS. Glow FW;MS Glow;Agustus;2017;221
MS. Glow FW;MS Glow;September;2017;63
MS. Glow FW;MS Glow;Oktober;2017;157
MS. Glow FW;MS Glow;November;2017;200
MS Glow FW;MS Glow;Desember;2017;110
Toner MS;MS Glow;Januari;2017;82
Toner MS;MS Glow;Februari;2017;29
Toner MS;MS Glow;Maret;2017;100
Toner MS;MS Glow;April;2017;187
Toner MS;MS Glow;Mei;2017;288
Toner MS;MS Glow;Juni;2017;154
Toner MS;MS Glow;Juli;2017;52
Toner MS;MS Glow;Agustus;2017;145
Toner MS;MS Glow;September;2017;200
Toner MS;MS Glow;Oktober;2017;93
Toner MS;MS Glow;November;2017;46
Toner MS;MS Glow;Desember;2017;86
Facial Wash Normal;Theraskin;Januari;2017;51
Facial Wash Normal;Theraskin;Februari;2017;200
Facial Wash Normal;Theraskin;Maret;2017;93
Facial Wash Normal;Theraskin;April;2017;185
Facial Wash Normal;Theraskin;Mei;2017;291
Facial Wash Normal;Theraskin;Juni;2017;163
Facial Wash Normal;Theraskin;Juli;2017;102
Facial Wash Normal;Theraskin;Agustus;2017;51
Facial Wash Normal;Theraskin;September;2017;86
Facial Wash Normal;Theraskin;Oktober;2017;159
Facial Wash Normal;Theraskin;November;2017;36
Facial Wash Normal;Theraskin;Desember;2017;181
Facial Wash Acne;Theraskin;Januari;2017;101
Facial Wash Acne;Theraskin;Februari;2017;50
Facial Wash Acne;Theraskin;Maret;2017;200
Facial Wash Acne;Theraskin;April;2017;93
Facial Wash Acne;Theraskin;Mei;2017;30
Facial Wash Acne;Theraskin;Juni;2017;70
Facial Wash Acne;Theraskin;Juli;2017;192
